nombre,apellido,rut,curso,codigo,fecha
Vicente,Palma Vargas,11111239-3,Biología,BIO129,17 de septiembre de 2025
Agustín,Pinto Campos,11111240-1,Matemáticas,MAT130,17 de septiembre de 2025
Renata,Pizarro Reyes,11111241-K,Física,FIS131,17 de septiembre de 2025
Matías,Carrasco Palma,11111242-8,Biología,BIO132,17 de septiembre de 2025
Isidora,Orellana Sáez,11111243-6,Matemáticas,MAT133,17 de septiembre de 2025
Tomás,Araya Salazar,11111244-4,Física,FIS134,17 de septiembre de 2025
Antonia,Sáez Cortés,11111245-2,Biología,BIO135,17 de septiembre de 2025
Diego,Salazar Silva,11111246-0,Matemáticas,MAT136,17 de septiembre de 2025
Constanza,Cortés Morales,11111247-9,Física,FIS137,17 de septiembre de 2025
Sebastián,Silva Vega,11111248-7,Biología,BIO138,17 de septiembre de 2025
Valentina,Morales Castillo,11111249-5,Matemáticas,MAT139,17 de septiembre de 2025
Francisco,Vega Ramírez,11111250-3,Física,FIS140,17 de septiembre de 2025
Gabriela,Castillo Hernández,11111251-1,Biología,BIO141,17 de septiembre de 2025
Martín,Reyes Torres,11111252-K,Matemáticas,MAT142,17 de septiembre de 2025
Catalina,Palma Vargas,11111253-8,Física,FIS143,17 de septiembre de 2025
Alonso,Pinto Campos,11111254-6,Biología,BIO144,17 de septiembre de 2025
Maite,Pizarro Reyes,11111255-4,Matemáticas,MAT145,17 de septiembre de 2025
Pedro,Carrasco Palma,11111256-2,Física,FIS146,17 de septiembre de 2025
Agustina,Orellana Sáez,11111257-0,Biología,BIO147,17 de septiembre de 2025
Emilio,Araya Salazar,11111258-9,Matemáticas,MAT148,17 de septiembre de 2025
Laura,Sáez Cortés,11111259-7,Física,FIS149,17 de septiembre de 2025
Samuel,Salazar Silva,11111260-5,Biología,BIO150,17 de septiembre de 2025
Paula,Cortés Morales,11111261-3,Matemáticas,MAT151,17 de septiembre de 2025
Andrés,Silva Vega,11111262-1,Física,FIS152,17 de septiembre de 2025
Micaela,Morales Castillo,11111263-K,Biología,BIO153,17 de septiembre de 2025
Juan,Vega Ramírez,11111264-8,Matemáticas,MAT154,17 de septiembre de 2025
Fernanda,Castillo Hernández,11111265-6,Física,FIS155,17 de septiembre de 2025
Rodrigo,Reyes Torres,11111266-4,Biología,BIO156,17 de septiembre de 2025
Paz,Palma Vargas,11111267-2,Matemáticas,MAT157,17 de septiembre de 2025
Vicente,Pinto Campos,11111268-0,Física,FIS158,17 de septiembre de 2025
Daniel,Pizarro Reyes,11111269-9,Biología,BIO159,17 de septiembre de 2025
Sofía,Carrasco Palma,11111270-7,Matemáticas,MAT160,17 de septiembre de 2025
Gaspar,Orellana Sáez,11111271-5,Física,FIS161,17 de septiembre de 2025
Elena,Araya Salazar,11111272-3,Biología,BIO162,17 de septiembre de 2025
Raimundo,Sáez Cortés,11111273-1,Matemáticas,MAT163,17 de septiembre de 2025
Josefa,Salazar Silva,11111274-K,Física,FIS164,17 de septiembre de 2025
Benjamín,Cortés Morales,11111275-8,Biología,BIO165,17 de septiembre de 2025
Mariana,Silva Vega,11111276-6,Matemáticas,MAT166,17 de septiembre de 2025
Thiago,Morales Castillo,11111277-4,Física,FIS167,17 de septiembre de 2025
Ignacia,Vega Ramírez,11111278-2,Biología,BIO168,17 de septiembre de 2025
Pablo,Castillo Hernández,11111279-0,Matemáticas,MAT169,17 de septiembre de 2025
Valeria,Reyes Torres,11111280-9,Física,FIS170,17 de septiembre de 2025
Hernán,Palma Vargas,11111281-7,Biología,BIO171,17 de septiembre de 2025
Loreto,Pinto Campos,11111282-5,Matemáticas,MAT172,17 de septiembre de 2025
Nicolás,Pizarro Reyes,11111283-3,Física,FIS173,17 de septiembre de 2025
Amparo,Carrasco Palma,11111284-1,Biología,BIO174,17 de septiembre de 2025
Tadeo,Orellana Sáez,11111285-K,Matemáticas,MAT175,17 de septiembre de 2025
Emilia,Araya Salazar,11111286-8,Física,FIS176,17 de septiembre de 2025
Benjamín,Sáez Cortés,11111287-6,Biología,BIO177,17 de septiembre de 2025
Lucía,Salazar Silva,11111288-4,Matemáticas,MAT178,17 de septiembre de 2025
Ignacio,Cortés Morales,11111289-2,Física,FIS179,17 de septiembre de 2025
Josefina,Silva Vega,11111290-0,Biología,BIO180,17 de septiembre de 2025
Cristóbal,Morales Castillo,11111291-9,Matemáticas,MAT181,17 de septiembre de 2025
Amanda,Vega Ramírez,11111292-7,Física,FIS182,17 de septiembre de 2025
Jorge,Castillo Hernández,11111293-5,Biología,BIO183,17 de septiembre de 2025
Florencia,Reyes Torres,11111294-3,Matemáticas,MAT184,17 de septiembre de 2025
Vicente,Palma Vargas,11111295-1,Física,FIS185,17 de septiembre de 2025
Agustín,Pinto Campos,11111296-K,Biología,BIO186,17 de septiembre de 2025
Renata,Pizarro Reyes,11111297-8,Matemáticas,MAT187,17 de septiembre de 2025
Matías,Carrasco Palma,11111298-6,Física,FIS188,17 de septiembre de 2025
Isidora,Orellana Sáez,11111299-4,Biología,BIO189,17 de septiembre de 2025
Tomás,Araya Salazar,11111300-2,Matemáticas,MAT190,17 de septiembre de 2025
Antonia,Sáez Cortés,11111301-0,Física,FIS191,17 de septiembre de 2025
Diego,Salazar Silva,11111302-9,Biología,BIO192,17 de septiembre de 2025
Constanza,Cortés Morales,11111303-7,Matemáticas,MAT193,17 de septiembre de 2025
Sebastián,Silva Vega,11111304-5,Física,FIS194,17 de septiembre de 2025
Valentina,Morales Castillo,11111305-3,Biología,BIO195,17 de septiembre de 2025
Francisco,Vega Ramírez,11111306-1,Matemáticas,MAT196,17 de septiembre de 2025
Gabriela,Castillo Hernández,11111307-K,Física,FIS197,17 de septiembre de 2025
Martín,Reyes Torres,11111308-8,Biología,BIO198,17 de septiembre de 2025
Catalina,Palma Vargas,11111309-6,Matemáticas,MAT199,17 de septiembre de 2025
Alonso,Pinto Campos,11111310-4,Física,FIS200,17 de septiembre de 2025
